date,open,high,low,close,volume
2017-01-03,0.0,0.0,0.0,12.49,0
2017-01-04,0.0,0.0,0.0,12.35,75
2017-01-05,0.0,0.0,0.0,12.21,63
2017-01-06,12.26,12.38,12.56,12.7,116
2017-01-09,0.0,0.0,0.0,12.68,163
2017-01-10,0.0,0.0,0.0,12.72,0
2017-01-11,0.0,0.0,0.0,12.38,0
2017-01-12,0.0,0.0,0.0,12.56,70
2017-01-13,11.69,11.9,11.96,11.98,275
2017-01-17,0.0,0.0,0.0,11.9,0
2017-01-18,12.29,12.19,12.03,12.01,401
2017-01-19,0.0,0.0,0.0,12.11,0
2017-01-20,0.0,0.0,0.0,12.29,0
2017-01-23,0.0,0.0,0.0,12.29,0
2017-01-24,0.0,0.0,0.0,12.05,0
2017-01-25,0.0,0.0,0.0,12.42,40
2017-01-26,0.0,0.0,0.0,12.36,0
2017-01-27,12.61,12.84,12.52,12.69,187
2017-01-30,0.0,0.0,0.0,12.52,0
2017-01-31,0.0,0.0,0.0,12.7,0
2017-02-01,0.0,0.0,0.0,12.32,0
2017-02-02,0.0,0.0,0.0,12.88,0
2017-02-03,0.0,0.0,0.0,12.51,0
2017-02-06,0.0,0.0,0.0,12.61,39
2017-02-07,0.0,0.0,0.0,12.72,0
2017-02-08,0.0,0.0,0.0,12.64,0
2017-02-09,0.0,0.0,0.0,12.59,0
2017-02-10,0.0,0.0,0.0,12.61,0
2017-02-13,0.0,0.0,0.0,12.44,0
2017-02-14,0.0,0.0,0.0,12.78,0
2017-02-15,0.0,0.0,0.0,12.64,0
2017-02-16,0.0,0.0,0.0,12.63,0
2017-02-17,0.0,0.0,0.0,12.39,0
2017-02-21,0.0,0.0,0.0,12.38,0
2017-02-22,0.0,0.0,0.0,12.64,0
2017-02-23,0.0,0.0,0.0,12.83,0
2017-02-24,0.0,0.0,0.0,12.81,0
2017-02-27,0.0,0.0,0.0,12.66,0
2017-02-28,0.0,0.0,0.0,12.69,0
2017-03-01,0.0,0.0,0.0,12.48,131
2017-03-02,0.0,0.0,0.0,12.72,0
2017-03-03,0.0,0.0,0.0,12.81,0
2017-03-06,0.0,0.0,0.0,12.85,0
2017-03-07,0.0,0.0,0.0,12.81,0
2017-03-08,0.0,0.0,0.0,12.31,0
2017-03-09,0.0,0.0,0.0,12.63,0
2017-03-10,0.0,0.0,0.0,12.43,0
2017-03-13,0.0,0.0,0.0,12.49,0
2017-03-14,13.3,13.5,13.5,13.1,103
2017-03-15,0.0,0.0,0.0,13.0,0
2017-03-16,0.0,0.0,0.0,13.2,0
2017-03-17,0.0,0.0,0.0,13.5,0
2017-03-20,0.0,0.0,0.0,13.0,0
2017-03-21,0.0,0.0,0.0,13.2,0
2017-03-22,0.0,0.0,0.0,12.9,0
2017-03-23,0.0,0.0,0.0,13.5,0
2017-03-24,0.0,0.0,0.0,13.5,0
2017-03-27,0.0,0.0,0.0,13.2,0
2017-03-28,0.0,0.0,0.0,13.3,0
2017-03-29,0.0,0.0,0.0,13.1,75
2017-03-30,0.0,0.0,0.0,12.9,0
2017-03-31,13.89,14.12,13.97,14.01,145
2017-04-03,0.0,0.0,0.0,14.28,0
2017-04-04,14.08,13.93,13.87,14.27,407
2017-04-05,0.0,0.0,0.0,14.19,0
2017-04-06,0.0,0.0,0.0,13.91,0
2017-04-07,13.7,14.13,13.62,14.26,3171
2017-04-10,0.0,0.0,0.0,13.66,0
2017-04-11,0.0,0.0,0.0,13.81,51
2017-04-12,0.0,0.0,0.0,13.97,0
2017-04-13,0.0,0.0,0.0,13.98,0
2017-04-17,13.9,13.9,13.8,13.5,137
2017-04-18,0.0,0.0,0.0,13.5,1041
2017-04-19,0.0,0.0,0.0,14.0,0
2017-04-20,0.0,0.0,0.0,13.5,0
2017-04-21,13.79,13.79,14.08,14.03,291
2017-04-24,14.08,13.75,13.96,14.05,336
2017-04-25,0.0,0.0,0.0,13.77,0
2017-04-26,0.0,0.0,0.0,14.12,0
2017-04-27,0.0,0.0,0.0,13.67,0
2017-04-28,0.0,0.0,0.0,14.07,0
2017-05-01,0.0,0.0,0.0,14.23,0
2017-05-02,0.0,0.0,0.0,14.23,0
2017-05-03,0.0,0.0,0.0,14.18,0
2017-05-04,0.0,0.0,0.0,14.04,0
2017-05-05,14.45,14.72,14.36,14.76,101
2017-05-08,0.0,0.0,0.0,14.52,0
2017-05-09,0.0,0.0,0.0,14.61,0
2017-05-10,0.0,0.0,0.0,14.86,0
2017-05-11,0.0,0.0,0.0,14.76,0
2017-05-12,0.0,0.0,0.0,14.9,0
2017-05-15,0.0,0.0,0.0,14.34,0
2017-05-16,16.39,16.29,16.45,16.64,1287
2017-05-17,0.0,0.0,0.0,16.11,0
2017-05-18,16.07,16.07,16.05,16.2,130
2017-05-19,0.0,0.0,0.0,15.88,0
2017-05-22,0.0,0.0,0.0,15.58,0
2017-05-23,0.0,0.0,0.0,15.8,0
2017-05-24,15.7,15.6,16.2,16.1,542
2017-05-25,15.6,15.6,15.9,16.2,132
2017-05-26,0.0,0.0,0.0,16.3,0
2017-05-30,16.5,16.5,16.7,16.4,2056
2017-05-31,16.33,16.82,16.52,16.99,1849
2017-06-01,0.0,0.0,0.0,16.52,0
2017-06-02,0.0,0.0,0.0,16.48,0
2017-06-05,0.0,0.0,0.0,16.94,0
2017-06-06,0.0,0.0,0.0,16.43,0
2017-06-07,0.0,0.0,0.0,16.77,91
2017-06-08,0.0,0.0,0.0,16.5,0
2017-06-09,16.72,16.38,16.18,16.4,181
2017-06-12,0.0,0.0,0.0,16.26,0
2017-06-13,0.0,0.0,0.0,16.22,0
2017-06-14,0.0,0.0,0.0,16.18,0
2017-06-15,16.06,16.21,16.27,16.64,201
2017-06-16,0.0,0.0,0.0,16.26,0
2017-06-19,0.0,0.0,0.0,16.03,0
2017-06-20,15.77,15.76,15.17,15.28,258
2017-06-21,0.0,0.0,0.0,15.34,0
2017-06-22,16.4,16.06,16.2,16.34,2009
2017-06-23,0.0,0.0,0.0,16.11,0
2017-06-26,15.3,15.7,15.9,15.7,151
2017-06-27,0.0,0.0,0.0,16.0,0
2017-06-28,0.0,0.0,0.0,15.9,0
2017-06-29,15.65,15.76,15.77,16.26,354
2017-06-30,0.0,0.0,0.0,16.33,2
2017-07-03,15.96,15.28,15.36,15.8,134
2017-07-05,0.0,0.0,0.0,15.38,0
2017-07-06,15.47,15.55,15.53,15.84,249
2017-07-07,0.0,0.0,0.0,16.16,0
2017-07-10,0.0,0.0,0.0,16.12,0
2017-07-11,0.0,0.0,0.0,15.6,0
2017-07-12,16.46,16.18,16.31,16.35,318
2017-07-13,0.0,0.0,0.0,15.9,0
2017-07-14,0.0,0.0,0.0,16.38,0
2017-07-17,16.66,16.78,16.45,16.16,208
2017-07-18,0.0,0.0,0.0,16.63,0
2017-07-19,17.51,17.92,17.7,17.43,256
2017-07-20,17.04,17.57,17.48,17.81,156
2017-07-21,0.0,0.0,0.0,17.78,0
2017-07-24,0.0,0.0,0.0,17.05,0
2017-07-25,17.42,17.33,17.08,17.36,2018
2017-07-26,0.0,0.0,0.0,17.06,0
2017-07-27,0.0,0.0,0.0,17.59,0
2017-07-28,0.0,0.0,0.0,17.76,0
2017-07-31,0.0,0.0,0.0,17.07,0
2017-08-01,0.0,0.0,0.0,17.21,0
